text,label
Reliance reports strong quarterly earnings growth,positive
TCS shares rise after strong IT sector performance,positive
HDFC Bank posts higher profits this quarter,positive
Stock market rallies after positive global cues,positive
Company announces expansion leading to investor confidence,positive
Infosys beats market expectations with strong results,positive
Sensex jumps due to strong economic outlook,positive
Investors show confidence in banking stocks,positive
New government policy boosts infrastructure sector,positive
Adani stocks surge after major deal announcement,positive

Market crashes due to global recession fears,negative
Company reports huge financial losses,negative
Stock prices fall amid inflation concerns,negative
Layoffs increase as company struggles financially,negative
Sensex drops due to weak global markets,negative
Investors panic due to economic slowdown,negative
IT sector declines after poor quarterly results,negative
Banking stocks fall due to rising NPAs,negative
Oil prices crash impacting energy sector,negative
Company faces bankruptcy concerns,negative
